id_ciudad,ciudad,latitud,longitud,geolabel
1,Adrogue,-34.8,-58.3833,Adrogue-Argentina
2,Aguilares,-27.4333,-65.6167,Aguilares-Argentina
3,Aimogasta,-28.55,-66.8167,Aimogasta-Argentina
4,Alba Posse,-27.55,-54.7,Alba Posse-Argentina
5,Alberti,-35.0167,-60.2667,Alberti-Argentina
6,Alta Gracia,-31.6667,-64.4333,Alta Gracia-Argentina
7,Apostoles,-27.9167,-55.7667,Apostoles-Argentina
8,Aristobulo del Valle,-27.1167,-54.9167,Aristobulo del Valle-Argentina
9,Arraga,-28.0667,-64.2333,Arraga-Argentina
10,Arrecifes,-34.0667,-60.1167,Arrecifes-Argentina
11,Avellaneda,-34.6625,-58.3678,Avellaneda-Argentina
12,Azul,-36.7833,-59.85,Azul-Argentina
13,Bahia Blanca,-38.7167,-62.2667,Bahia Blanca-Argentina
14,Balcarce,-37.8456,-58.2578,Balcarce-Argentina
15,Banado de Ovanta,-28.1,-65.3167,Banado de Ovanta-Argentina
16,Banda del Rio Sali,-26.85,-65.1667,Banda del Rio Sali-Argentina
17,Banfield,-34.75,-58.3833,Banfield-Argentina
18,Baradero,-33.8,-59.5167,Baradero-Argentina
19,Barranqueras,-27.4833,-58.9333,Barranqueras-Argentina
20,Beccar,-34.4667,-58.5167,Beccar-Argentina
21,Belen de Escobar,-34.3333,-58.8167,Belen de Escobar-Argentina
22,Bell Ville,-32.6333,-62.6833,Bell Ville-Argentina
23,Bella Vista,-34.5333,-58.6667,Bella Vista-Argentina
24,Bella Vista,-28.4667,-59.05,Bella Vista-Argentina
25,Bella Vista,-27.0333,-65.3,Bella Vista-Argentina
26,Berazategui,-34.7167,-58.25,Berazategui-Argentina
27,Berisso,-34.8728,-57.8858,Berisso-Argentina
28,Bernal,-34.7,-58.2833,Bernal-Argentina
29,Bernardo de Irigoyen,-26.25,-53.9833,Bernardo de Irigoyen-Argentina
30,Bragado,-35.1167,-60.5,Bragado-Argentina
31,Brandsen,-35.1667,-58.2167,Brandsen-Argentina
32,Buenos Aires,-34.6033,-58.3817,Buenos Aires-Argentina
33,Burruyacu,-26.5,-64.75,Burruyacu-Argentina
34,Burzaco,-34.8167,-58.3667,Burzaco-Argentina
35,Cafayate,-26.0833,-65.9667,Cafayate-Argentina
36,Campana,-34.1667,-58.9167,Campana-Argentina
37,Campo Grande,-27.2167,-54.9667,Campo Grande-Argentina
38,Campo Largo,-26.8,-60.8333,Campo Largo-Argentina
39,Canada de Gomez,-32.8167,-61.4,Canada de Gomez-Argentina
40,Candelaria,-27.4594,-55.7453,Candelaria-Argentina
41,Canuelas,-35.0333,-58.7333,Canuelas-Argentina
42,Capilla del Senor,-34.2833,-59.1,Capilla del Senor-Argentina
43,Capitan Bermudez,-32.8167,-60.7167,Capitan Bermudez-Argentina
